,Voltage,Current
397,5.60744858,0.499650121
398,5.60765743,0.499701917
399,5.60751295,0.499691337
400,5.60761595,0.499674857
401,5.60776567,0.49967131
402,5.60765982,0.499687791
403,5.60712481,0.499680698
404,5.60715151,0.499674857
405,5.60751295,0.499691337
406,5.60741329,0.499652475
407,5.60719585,0.499705434
408,5.60742521,0.499667764
409,5.6073041,0.499679565
410,5.60722208,0.499694854
411,5.60729551,0.499670118
412,5.60714293,0.499711335
413,5.60755157,0.49965483
414,5.60734844,0.499693692
415,5.60699606,0.499672472
416,5.60681057,0.499668956
417,5.60686922,0.499694854
418,5.60732794,0.49968189
419,5.60690212,0.499673665
420,5.6066637,0.499687791
421,5.60709,0.49968189
422,5.60665798,0.49968189
423,5.6064229,0.4996925
424,5.6071105,0.499634802
425,5.60716629,0.499711335
426,5.60669899,0.499677211
427,5.60647869,0.4996925
428,5.60710764,0.499678373
429,5.60659647,0.499694854
430,5.60687828,0.499672472
431,5.60687828,0.499647737
432,5.6062727,0.499686599
433,5.6066637,0.499666601
434,5.60715437,0.499688953
435,5.60679054,0.499685436
436,5.60676384,0.499700725
437,5.60695505,0.499668956
438,5.60706043,0.499677211
439,5.60703707,0.4996925
440,5.60699606,0.499664217
441,5.60676384,0.499696046
442,5.60636091,0.499673665
443,5.60672855,0.499687791
444,5.60700798,0.499679565
445,5.6067872,0.499661893
446,5.60625553,0.499683082
447,5.60598516,0.499688953
448,5.6065402,0.499676019
449,5.60677576,0.499647737
450,5.60589981,0.499687791
451,5.6603632,0.155617222
452,5.66955233,0.0999940708
453,5.6703372,0.0999469757
454,5.67110443,0.0999752283
455,5.67109251,0.0999764055
456,5.67115688,0.0999822989
457,5.67123079,0.0999658182
458,5.67138052,0.0999516845
459,5.67155695,0.099961102
460,5.67166281,0.0999822989
461,5.67187119,0.0999540389
462,5.67179203,0.0999976024
463,5.67163324,0.099930495
464,5.67163038,0.0999905393
465,5.67194748,0.0999705195
466,5.67221785,0.0999528617
467,5.67177725,0.0999716967
468,5.67192411,0.0999764055
469,5.67159176,0.0999516845
470,5.67177439,0.0999787599
471,5.67191553,0.0999658182
472,5.67204189,0.0999646336
473,5.67227983,0.0999952406
474,5.67182398,0.0999410823
475,5.67221785,0.0999870002
476,5.67147446,0.10000702
477,5.67191839,0.0999563932
478,5.67243242,0.0999752283
479,5.67223263,0.0999870002
480,5.67235327,0.0999528617
481,5.67271185,0.0999764055
482,5.67238235,0.0999893546
483,5.67226505,0.099966988
484,5.67188025,0.0999599248
485,5.67241812,0.0999599248
486,5.67253256,0.0999740586
487,5.67225075,0.0999752283
488,5.67233562,0.0999646336
489,5.67204762,0.0999858305
490,5.67244148,0.0999846458
491,5.67274714,0.0999681652
492,5.67277622,0.0999705195
493,5.67237997,0.100004658
494,5.67263556,0.0999316722
495,5.67260599,0.0999870002
496,5.67265892,0.0999822989
497,5.67221785,0.099966988
498,5.67270899,0.0999681652
499,5.6726265,0.099991709
500,5.67257643,0.0999681652
501,5.672791,0.0999587476
502,5.67240906,0.0999622792
503,5.67240334,0.099966988
504,5.67245626,0.0999787599
505,5.67219448,0.0999540389
506,5.67259979,0.0999493226
507,5.67232084,0.0999764055
508,5.67204762,0.0999646336
509,5.67257643,0.0999528617
510,5.67256165,0.099966988
511,5.67263269,0.0999858305
512,5.67287922,0.0999481529
513,5.67267656,0.0999505073
514,5.6727705,0.0999716967
515,5.6726265,0.0999552161
516,5.672791,0.0999716967
517,5.67243862,0.0999740586
518,5.67245865,0.0999905393
519,5.67244434,0.0999481529
520,5.67243004,0.0999693424
521,5.6726675,0.0999905393
522,5.67257643,0.0999775901
523,5.67292929,0.0999587476
524,5.67239428,0.0999646336
525,5.6730113,0.0999599248
526,5.67330217,0.0999905393
527,5.67318487,0.0999740586
528,5.6730938,0.0999705195
529,5.67299366,0.0999705195
530,5.67302036,0.0999505073
531,5.67334366,0.099936381
532,5.67323494,0.0999799371
533,5.67333746,0.0999681652
534,5.67331696,0.0999716967
535,5.67341423,0.0999905393
536,5.67337322,0.099961102
537,5.67312622,0.0999846458
538,5.67324924,0.0999858305
539,5.6732173,0.0999493226
540,5.67395782,0.0999646336
541,5.67344046,0.0999552161
542,5.67338181,0.10000819
543,5.6735549,0.0999528617
544,5.67319393,0.0999787599
545,5.67361403,0.0999563932
546,5.67367887,0.0999728739
547,5.67336416,0.0999740586
548,5.67327023,0.099961102
549,5.67309952,0.0999693424
